subtype-IVa(2B)	100.00	1491/1491	NZ_CP160409.1	54396..52906
ccrB2	97.42	1629/1629	NZ_CP160409.1	47473..45845
ccrB2	99.94	1629/1629	NZ_CP160409.1	45845..47473
ccrB2	96.87	1629/1629	NZ_CP160409.1	47473..45845
ccrB2	99.14	1629/1629	NZ_CP160409.1	47473..45845
ccrB2	96.57	1629/1631	NZ_CP160409.1	45845..47473
ccrB2	97.24	1629/1629	NZ_CP160409.1	47473..45845
ccrB2	100.00	1629/1629	NZ_CP160409.1	47473..45845
ccrB2	100.00	1629/1629	NZ_CP160409.1	47473..45845
ccrB2	99.94	1650/1650	NZ_CP160409.1	47494..45845
ccrB2	99.02	1614/1629	NZ_CP160409.1	47473..45845
ccrB2	99.50	1596/1596	NZ_CP160409.1	47439..45845
ccrB2	99.94	1629/1629	NZ_CP160409.1	45845..47473
ccrB2	99.82	1629/1629	NZ_CP160409.1	45845..47473
ccrB2	99.94	1650/1650	NZ_CP160409.1	45845..47494
ccrB2	97.42	1629/1629	NZ_CP160409.1	45845..47473
ccrB2	97.30	1629/1629	NZ_CP160409.1	45845..47473
ccrB2	97.36	1629/1629	NZ_CP160409.1	45845..47473
ccrB2	97.42	1629/1629	NZ_CP160409.1	45845..47473
ccrB2	97.36	1629/1629	NZ_CP160409.1	45845..47473
ccrB2	97.36	1629/1629	NZ_CP160409.1	45845..47473
ccrB2	97.42	1629/1629	NZ_CP160409.1	45845..47473
ccrA2	97.11	1350/1350	NZ_CP160409.1	48844..47495
ccrA2	99.63	1350/1350	NZ_CP160409.1	47495..48844
ccrA2	98.30	1350/1350	NZ_CP160409.1	48844..47495
ccrA2	96.96	1350/1350	NZ_CP160409.1	48844..47495
ccrA2	97.48	1350/1350	NZ_CP160409.1	47495..48844
ccrA2	96.59	1350/1350	NZ_CP160409.1	48844..47495
ccrA2	100.00	1350/1350	NZ_CP160409.1	48844..47495
ccrA2	100.00	1350/1350	NZ_CP160409.1	48844..47495
ccrA2	98.33	1314/1314	NZ_CP160409.1	48808..47495
ccrA2	99.63	1350/1350	NZ_CP160409.1	48844..47495
ccrA2	98.00	1350/1350	NZ_CP160409.1	48844..47495
ccrA2	99.63	1350/1350	NZ_CP160409.1	47495..48844
ccrA2	97.93	1350/1350	NZ_CP160409.1	47495..48844
ccrA2	99.56	1350/1350	NZ_CP160409.1	47495..48844
ccrA2	97.11	1350/1350	NZ_CP160409.1	47495..48844
ccrA2	96.07	1350/1350	NZ_CP160409.1	47495..48844
ccrA2	97.11	1350/1350	NZ_CP160409.1	47495..48844
ccrA2	97.11	1350/1350	NZ_CP160409.1	47495..48844
ccrA2	97.11	1350/1350	NZ_CP160409.1	47495..48844
ccrA2	97.11	1350/1350	NZ_CP160409.1	47495..48844
ccrA2	97.11	1350/1350	NZ_CP160409.1	47495..48844
dmecR1	100.00	987/987	NZ_CP160409.1	42172..41186
dmecR1	100.00	827/827	NZ_CP160409.1	41186..42012
dmecR1	100.00	987/987	NZ_CP160409.1	42172..41186
dmecR1	100.00	969/969	NZ_CP160409.1	42172..41204
IS1272	100.00	1524/1524	NZ_CP160409.1	42395..43918
IS1272	100.00	1585/1585	NZ_CP160409.1	44003..42419
IS1272	100.00	1843/1843	NZ_CP160409.1	42161..44003
IS1272	100.00	1659/1659	NZ_CP160409.1	44053..42395
IS1272	100.00	1608/1608	NZ_CP160409.1	44023..42416
mecA	99.95	2007/2007	NZ_CP160409.1	41086..39080
mecA	99.90	2007/2007	NZ_CP160409.1	41086..39080
mecA	100.00	2007/2007	NZ_CP160409.1	41086..39080
mecA	100.00	2007/2007	NZ_CP160409.1	39080..41086
mecA	99.95	2007/2007	NZ_CP160409.1	39080..41086
mecA	99.95	2007/2007	NZ_CP160409.1	41086..39080
mecA	99.95	2007/2007	NZ_CP160409.1	39080..41086
mecA	100.00	2007/2007	NZ_CP160409.1	41086..39080
mecA	99.95	2007/2007	NZ_CP160409.1	41086..39080
mecA	99.95	2007/2007	NZ_CP160409.1	39080..41086
mecA	99.90	2010/2010	NZ_CP160409.1	41089..39080
mecA	100.00	2010/2010	NZ_CP160409.1	39080..41089
mecA	99.95	2010/2010	NZ_CP160409.1	39080..41089
mecA	99.95	1910/1910	NZ_CP160409.1	39180..41089
mecA	99.95	2010/2010	NZ_CP160409.1	39080..41089
mecA	99.95	2010/2010	NZ_CP160409.1	39080..41089
mecA	99.95	2007/2007	NZ_CP160409.1	39080..41086
