#Template	Score	Expected	z	p_value	query coverage [%]	template coverage [%]	depth	Kmers in Template	Description
SCCmec_type_II(2A)|gb|CP000736	   53210	   35309	  110.40	3.7e-25	    0.91	   45.29	    0.49	  117483	
SCCmec_type_II(2A)|gb|D86934.2	   41126	   34396	   42.20	3.7e-25	    0.70	   35.93	    0.39	  114446	
SCCmec_type_VIII(4A)|gb|FJ670542.1	   32662	   20159	  103.30	3.7e-25	    0.56	   48.70	    0.50	   67074	
SCCmec_type_VIII(4A)|gb|FJ390057.1	   29824	   19223	   89.80	3.7e-25	    0.51	   46.63	    0.48	   63960	
SCCmec_type_II(2A)|gb|CP000703	   29800	   28270	   10.70	3.7e-24	    0.51	   31.68	    0.33	   94063	
SCCmec_type_I(1B)|gb|AB033763.2	   28312	   22278	   47.50	3.7e-25	    0.48	   38.19	    0.39	   74126	
SCCmec_type_III(3A)|gb|AB037671.1	   27144	   21051	   49.40	3.7e-25	    0.46	   38.75	    0.39	   70042	
SCCmec_type_IV(2B)|SCCmec_type_IVc(2B)|gb|AY271717.1	   22984	   14408	   84.30	3.7e-25	    0.39	   47.94	    0.50	   47939	
SCCmec_type_IV(2B)|SCCmec_type_IVc(2B)|gb|AB096217.1	   20075	   17874	   19.40	3.7e-25	    0.34	   33.75	    0.34	   59474	
SCCmec_type_XIII(9A)|gb|MG674089	   20053	   19008	    8.90	3.7e-17	    0.34	   31.71	    0.32	   63244	
SCCmec_type_I(1B)|gb|CP000046.1	   19921	   15515	   41.80	3.7e-25	    0.34	   38.59	    0.39	   51622	
SCCmec_type_IV(2B)|SCCmec_type_IVj(2B)|gb|AB425824.1	   19532	   13895	   56.50	3.7e-25	    0.33	   42.25	    0.44	   46234	
SCCmec_type_IV(2B)|SCCmec_type_IVa(2B)|gb|AB063172.2	   19106	   15329	   36.00	3.7e-25	    0.33	   37.46	    0.38	   51003	
SCCmec_type_IV(2B)|SCCmec_type_IVb(2B)|gb|AB063173.1	   19003	   12968	   62.60	3.7e-25	    0.32	   44.04	    0.46	   43148	
SCCmec_type_IV(2B)|SCCmec_type_IVg(2B)|gb|DQ106887.1	   18407	   13808	   46.30	3.7e-25	    0.31	   40.07	    0.42	   45942	
SCCmec_type_IV(2B)|SCCmec_type_IVi(2B)|gb|AB425823.1	   18381	   13753	   46.60	3.7e-25	    0.31	   40.17	    0.42	   45760	
SCCmec_type_IV(2B)|SCCmec_type_IVd(2B)|gb|NZ_JYBA01000013.1	   18376	   15713	   25.10	3.7e-25	    0.31	   35.15	    0.37	   52283	
SCCmec_type_IV(2B)|SCCmec_type_IVa(2B)|gb|BA000033.2	   18305	   14308	   39.50	3.7e-25	    0.31	   38.45	    0.39	   47607	
SCCmec_type_VI(4B)|gb|AF411935.3	   17873	   13880	   40.10	3.7e-25	    0.30	   38.70	    0.40	   46183	
SCCmec_type_IV(2B)|SCCmec_type_IVh(2B)|gb|CP007659.1	   17607	   13282	   44.40	3.7e-25	    0.30	   39.84	    0.41	   44194	
