#Template	Score	Expected	z	p_value	query coverage [%]	template coverage [%]	depth	Kmers in Template	Description
SCCmec_type_IV(2B)|SCCmec_type_IVc(2B)|gb|AB096217.1	   46391	   20490	  219.20	3.7e-25	    0.82	   78.00	    0.97	   59474	
SCCmec_type_IV(2B&5)|gb|AM292304.1	   43878	   22823	  168.80	3.7e-25	    0.77	   66.24	    0.81	   66245	
SCCmec_type_IV(2B)|SCCmec_type_IVc(2B)|gb|AY271717.1	   41161	   16516	  233.00	3.7e-25	    0.73	   85.86	    1.06	   47939	
SCCmec_type_IV(2B)|SCCmec_type_IVc(2B)|gb|EU437549.2	   38474	   19984	  158.80	3.7e-25	    0.68	   66.33	    0.81	   58005	
SCCmec_type_IV(2B)|SCCmec_type_IVc(2B)|gb|AJ810121.1	   36017	   16125	  190.60	3.7e-25	    0.64	   76.96	    0.96	   46802	
SCCmec_type_IV(2B)|SCCmec_type_IVd(2B)|gb|NZ_JYBA01000013.1	   35081	   18013	  154.70	3.7e-25	    0.62	   67.10	    0.90	   52283	
SCCmec_type_IV(2B)|SCCmec_type_IVj(2B)|gb|AB425824.1	   32563	   15929	  160.50	3.7e-25	    0.58	   70.43	    0.90	   46234	
SCCmec_type_IV(2B)|SCCmec_type_IVh(2B)|gb|CP007659.1	   31791	   15226	  163.50	3.7e-25	    0.56	   71.94	    0.93	   44194	
SCCmec_type_IV(2B)|SCCmec_type_IVi(2B)|gb|AB425823.1	   31049	   15766	  148.30	3.7e-25	    0.55	   67.85	    0.88	   45760	
SCCmec_type_IV(2B)|SCCmec_type_IVg(2B)|gb|DQ106887.1	   30689	   15828	  143.90	3.7e-25	    0.54	   66.80	    0.87	   45942	
SCCmec_type_IV(2B)|SCCmec_type_IVa(2B)|gb|AB063172.2	   30546	   17572	  119.20	3.7e-25	    0.54	   59.89	    0.77	   51003	
SCCmec_type_IV(2B)|SCCmec_type_IVa(2B)|gb|BA000033.2	   30341	   16402	  132.60	3.7e-25	    0.54	   63.73	    0.82	   47607	
SCCmec_type_IV(2B)|SCCmec_type_IVb(2B)|gb|AB063173.1	   29512	   14866	  146.50	3.7e-25	    0.52	   68.40	    0.90	   43148	
SCCmec_type_VI(4B)|gb|AF411935.3	   21913	   15911	   58.10	3.7e-25	    0.39	   47.45	    0.67	   46183	
SCCmec_type_I(1B)|gb|CP000046.1	   21763	   17785	   36.40	3.7e-25	    0.38	   42.16	    0.58	   51622	
SCCmec_type_IV(2B)|SCCmec_type_IVd(2B)|gb|AB097677.1	   12779	    9789	   37.10	3.7e-25	    0.23	   44.98	    0.48	   28413	
