#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
2999172154.fna	NZ_CP049976.1	427	1236	+	ANT9	1-810/810	===============	0/0	100.00	100.00	megares	MEG_1004	Drugs:Aminoglycosides:Aminoglycoside_O-nucleotidyltransferases:ANT9	
2999172154.fna	NZ_CP049976.1	3303	4787	+	LSA	1-1485/1485	===============	0/0	100.00	100.00	megares	MEG_3641	Drugs:MLS:MLS_resistance_ABC_efflux_pumps:LSA	
2999172154.fna	NZ_CP049976.1	4841	5644	+	LSAE	1-804/804	===============	0/0	100.00	100.00	megares	MEG_3648	Drugs:Multi-drug_resistance:Multi-drug_ABC_efflux_pumps:LSAE	
2999172154.fna	NZ_CP049976.1	9030	9800	-	ANT4-PRIME	1-771/771	===============	0/0	100.00	99.87	megares	MEG_978	Drugs:Aminoglycosides:Aminoglycoside_O-nucleotidyltransferases:ANT4-PRIME	
2999172154.fna	NZ_CP049976.1	33054	33434	-	BLAI	1-381/381	===============	0/0	100.00	100.00	megares	MEG_1287	Drugs:betalactams:Penicillin_binding_protein_regulator:BLAI	
2999172154.fna	NZ_CP049976.1	33424	35181	-	BLAR	1-1758/1758	===============	0/0	100.00	99.94	megares	MEG_1302	Drugs:betalactams:Penicillin_binding_protein_regulator:BLAR	
2999172154.fna	NZ_CP049976.1	35246	36133	+	BLAZ	1-888/888	===============	0/0	100.00	99.66	megares	MEG_1408	Drugs:betalactams:Class_A_betalactamases:BLAZ	
2999172154.fna	NZ_CP049976.1	38875	39372	-	DFRG	1-498/498	===============	0/0	100.00	100.00	megares	MEG_2579	Drugs:Trimethoprim:Dihydrofolate_reductase:DFRG	
2999172154.fna	NZ_CP049976.1	55229	55648	+	MEPR	1-420/420	===============	0/0	100.00	99.05	megares	MEG_3836	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MATE_efflux_regulator:MEPR	
2999172154.fna	NZ_CP049976.1	55740	57110	+	MEPA	1-1371/1371	===============	0/0	100.00	98.61	megares	MEG_3834	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MATE_efflux_pumps:MEPA	
2999172154.fna	NZ_CP049976.1	57213	57653	+	MEPB	1-441/441	===============	0/0	100.00	89.57	megares	MEG_3835	Drugs:Multi-drug_resistance:Multi-drug_MATE_efflux_pump:MEPB	
2999172154.fna	NZ_CP049976.1	415910	416353	+	AAC3	1-444/444	===============	0/0	100.00	99.78	megares	MEG_47	Drugs:Aminoglycosides:Aminoglycoside_N-acetyltransferases:AAC3	
2999172154.fna	NZ_CP049976.1	424362	424805	-	MGRA	1-444/444	===============	0/0	100.00	99.78	megares	MEG_3943	Drugs:Multi-drug_resistance:MDR_regulator:MGRA	
2999172154.fna	NZ_CP049976.1	432461	433627	+	NORA	1-1167/1167	===============	0/0	100.00	92.03	megares	MEG_4209	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MFS_efflux_pumps:NORA	
2999172154.fna	NZ_CP049976.1	643762	645681	-	TETM	1-1920/1920	===============	0/0	100.00	100.00	megares	MEG_7145	Drugs:Tetracyclines:Tetracycline_resistance_ribosomal_protection_proteins:TETM	
2999172154.fna	NZ_CP049976.1	1139350	1140705	-	ARLS	1-1356/1356	===============	0/0	100.00	98.67	megares	MEG_1118	Drugs:Multi-drug_resistance:MDR_regulator:ARLS	
2999172154.fna	NZ_CP049976.1	1140702	1141361	-	ARLR	1-660/660	===============	0/0	100.00	99.55	megares	MEG_1114	Drugs:Multi-drug_resistance:MDR_regulator:ARLR	
2999172154.fna	NZ_CP049976.1	1188448	1189839	-	NORB	1-1392/1392	===============	0/0	100.00	98.35	megares	MEG_4210	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MFS_efflux_pumps:NORB	
2999172154.fna	NZ_CP049976.1	1451163	1452603	+	FEXA	1-1441/1441	===============	0/0	100.00	99.93	megares	MEG_2905	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MFS_efflux_pumps:FEXA	
2999172154.fna	NZ_CP049976.1	1564805	1565605	-	APH3-PRIME	1-801/801	===============	0/0	100.00	99.25	megares	MEG_1060	Drugs:Aminoglycosides:Aminoglycoside_O-phosphotransferases:APH3-PRIME	
2999172154.fna	NZ_CP049976.1	1950361	1951803	-	LMRS	1-1443/1443	===============	0/0	100.00	91.48	megares	MEG_3599	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MFS_efflux_pumps:LMRS	
2999172154.fna	NZ_CP049976.1	2232273	2233460	-	DHAP	1-1188/1188	===============	0/0	100.00	99.16	megares	MEG_2614	Drugs:Phenicol:Phenicol_resistance_MFS_efflux_pumps:DHAP	
2999172154.fna	NZ_CP049976.1	2552189	2552666	+	RLMH	1-478/480	===============	0/0	99.58	98.33	megares	MEG_6058	Drugs:MLS:23S_rRNA_methyltransferases:RLMH	
2999172154.fna	NZ_CP049976.1	2557504	2559513	-	MECA	1-2010/2010	===============	0/0	100.00	100.00	megares	MEG_3783	Drugs:betalactams:Penicillin_binding_protein:MECA	
2999172154.fna	NZ_CP049976.1	2663750	2665102	+	TET38	1-1353/1353	===============	0/0	100.00	99.56	megares	MEG_6981	Drugs:Tetracyclines:Tetracycline_resistance_MFS_efflux_pumps:TET38	
2999172154.fna	NZ_CP049976.1	2877717	2879161	-	AAC6-PRIME	1-1445/1445	===============	0/0	100.00	100.00	megares	MEG_364	Drugs:Aminoglycosides:Aminoglycoside_N-acetyltransferases:AAC6-PRIME	
2999172154.fna	NZ_CP049976.1	2885827	2887203	+	TETL	1-1377/1377	===============	0/0	100.00	99.86	megares	MEG_7095	Drugs:Tetracyclines:Tetracycline_resistance_MFS_efflux_pumps:TETL	
2999172154.fna	NZ_CP049976.1	2887847	2888581	-	ERMT	1-735/735	===============	0/0	100.00	100.00	megares	MEG_2848	Drugs:MLS:23S_rRNA_methyltransferases:ERMT	
2999172154.fna	NZ_CP049976.1	2894849	2895712	+	ANT6	1-864/864	===============	0/0	100.00	100.00	megares	MEG_1000	Drugs:Aminoglycosides:Aminoglycoside_O-nucleotidyltransferases:ANT6	
