#Template	Score	Expected	z	p_value	query coverage [%]	template coverage [%]	depth	Kmers in Template	Description
SCCmec_type_II(2A)|gb|CP000736	   45688	   42668	   17.90	3.7e-25	    0.80	   38.89	    0.44	  117483	
SCCmec_type_IV(2B)|SCCmec_type_IVa(2B)|gb|AB063172.2	   45417	   18523	  243.50	3.7e-25	    0.79	   89.05	    0.96	   51003	
SCCmec_type_IV(2B)|SCCmec_type_IVa(2B)|gb|BA000033.2	   44685	   17290	  256.90	3.7e-25	    0.78	   93.86	    1.02	   47607	
SCCmec_type_IV(2B)|SCCmec_type_IVc(2B)|gb|AY271717.1	   36837	   17411	  181.80	3.7e-25	    0.64	   76.84	    0.85	   47939	
SCCmec_type_IV(2B)|SCCmec_type_IVi(2B)|gb|AB425823.1	   35583	   16619	  181.80	3.7e-25	    0.62	   77.76	    0.85	   45760	
SCCmec_type_I(1B)|gb|AB033763.2	   33580	   26921	   50.00	3.7e-25	    0.58	   45.30	    0.49	   74126	
SCCmec_type_IV(2B)|SCCmec_type_IVj(2B)|gb|AB425824.1	   32954	   16791	  154.20	3.7e-25	    0.57	   71.28	    0.78	   46234	
SCCmec_type_IV(2B)|SCCmec_type_IVd(2B)|gb|NZ_JYBA01000013.1	   32236	   18988	  118.80	3.7e-25	    0.56	   61.66	    0.68	   52283	
SCCmec_type_IV(2B)|SCCmec_type_IVg(2B)|gb|DQ106887.1	   32134	   16685	  147.90	3.7e-25	    0.56	   69.94	    0.79	   45942	
SCCmec_type_IV(2B)|SCCmec_type_IVc(2B)|gb|AB096217.1	   31255	   21600	   81.10	3.7e-25	    0.54	   52.55	    0.56	   59474	
SCCmec_type_IV(2B)|SCCmec_type_IVh(2B)|gb|CP007659.1	   31219	   16051	  148.10	3.7e-25	    0.54	   70.64	    0.78	   44194	
SCCmec_type_IV(2B)|SCCmec_type_IVb(2B)|gb|AB063173.1	   30793	   15671	  149.50	3.7e-25	    0.54	   71.37	    0.79	   43148	
SCCmec_type_IV(2B&5)|gb|AM292304.1	   30381	   24059	   50.30	3.7e-25	    0.53	   45.86	    0.49	   66245	
SCCmec_type_IV(2B)|SCCmec_type_IVc(2B)|gb|EU437549.2	   30278	   21066	   78.40	3.7e-25	    0.53	   52.20	    0.57	   58005	
SCCmec_type_IV(2B)|SCCmec_type_IVc(2B)|gb|AJ810121.1	   28654	   16998	  110.60	3.7e-25	    0.50	   61.22	    0.68	   46802	
SCCmec_type_I(1B)|gb|CP000046.1	   24363	   18748	   50.80	3.7e-25	    0.42	   47.19	    0.51	   51622	
SCCmec_type_VI(4B)|gb|AF411935.3	   23375	   16773	   63.20	3.7e-25	    0.41	   50.61	    0.57	   46183	
SCCmec_type_IV(2B)|SCCmec_type_IVd(2B)|gb|AB097677.1	   11800	   10319	   18.20	3.7e-25	    0.21	   41.53	    0.45	   28413	
