#Template	Score	Expected	z	p_value	query coverage [%]	template coverage [%]	depth	Kmers in Template	Description
SCCmec_type_II(2A)|gb|CP000736	   49218	   38515	   64.70	3.7e-25	    0.90	   41.89	    0.46	  117483	
SCCmec_type_IV(2B)|SCCmec_type_IVc(2B)|gb|AY271717.1	   34768	   15716	  182.50	3.7e-25	    0.63	   72.53	    0.77	   47939	
SCCmec_type_IV(2B)|SCCmec_type_IVj(2B)|gb|AB425824.1	   30836	   15157	  153.10	3.7e-25	    0.56	   66.70	    0.70	   46234	
SCCmec_type_IV(2B)|SCCmec_type_IVi(2B)|gb|AB425823.1	   30343	   15002	  150.60	3.7e-25	    0.55	   66.31	    0.70	   45760	
SCCmec_type_IV(2B)|SCCmec_type_IVa(2B)|gb|AB063172.2	   30336	   16721	  126.50	3.7e-25	    0.55	   59.48	    0.62	   51003	
SCCmec_type_IV(2B)|SCCmec_type_IVd(2B)|gb|NZ_JYBA01000013.1	   29808	   17140	  116.30	3.7e-25	    0.54	   57.01	    0.60	   52283	
SCCmec_type_IV(2B)|SCCmec_type_IVa(2B)|gb|BA000033.2	   29727	   15607	  135.90	3.7e-25	    0.54	   62.44	    0.65	   47607	
SCCmec_type_IV(2B)|SCCmec_type_IVc(2B)|gb|AB096217.1	   28973	   19498	   81.50	3.7e-25	    0.53	   48.72	    0.49	   59474	
SCCmec_type_IV(2B)|SCCmec_type_IVh(2B)|gb|CP007659.1	   28943	   14488	  144.50	3.7e-25	    0.53	   65.49	    0.69	   44194	
SCCmec_type_I(1B)|gb|AB033763.2	   28370	   24301	   31.30	3.7e-25	    0.52	   38.27	    0.40	   74126	
SCCmec_type_IV(2B)|SCCmec_type_IVg(2B)|gb|DQ106887.1	   28095	   15061	  127.80	3.7e-25	    0.51	   61.15	    0.65	   45942	
SCCmec_type_IV(2B)|SCCmec_type_IVb(2B)|gb|AB063173.1	   27995	   14145	  140.10	3.7e-25	    0.51	   64.88	    0.68	   43148	
SCCmec_type_IV(2B&5)|gb|AM292304.1	   27103	   21718	   43.90	3.7e-25	    0.49	   40.91	    0.42	   66245	
SCCmec_type_IV(2B)|SCCmec_type_IVc(2B)|gb|EU437549.2	   25920	   19016	   60.20	3.7e-25	    0.47	   44.69	    0.46	   58005	
SCCmec_type_IV(2B)|SCCmec_type_IVc(2B)|gb|AJ810121.1	   25131	   15343	   95.10	3.7e-25	    0.46	   53.70	    0.57	   46802	
SCCmec_type_VI(4B)|gb|AF411935.3	   20073	   15140	   48.30	3.7e-25	    0.37	   43.46	    0.47	   46183	
SCCmec_type_I(1B)|gb|CP000046.1	   19981	   16924	   28.30	3.7e-25	    0.36	   38.71	    0.40	   51622	
SCCmec_type_IV(2B)|SCCmec_type_IVd(2B)|gb|AB097677.1	   11503	    9315	   27.50	3.7e-25	    0.21	   40.48	    0.41	   28413	
