#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
2212168481.fna	NZ_CP092565.1	39209	41215	-	(Bla)mecA	1-2007/2007	===============	0/0	100.00	100.00	argannot	AB221124:91-2097	(Bla)mecA	
2212168481.fna	NZ_CP092565.1	124615	125967	+	(Tet)tet(38)	1-1353/1353	===============	0/0	100.00	100.00	argannot	AY825285:1-1353	(Tet)tet(38)	
2212168481.fna	NZ_CP092565.1	721057	722223	+	(Flq)norA	1-1167/1167	===============	0/0	100.00	100.00	argannot	D90119:478-1644	(Flq)norA	
2212168481.fna	NZ_CP092565.1	1781576	1782376	-	(AGly)apH-Stph	1-801/801	===============	0/0	100.00	100.00	argannot	HE579073:1778413-1779213	(AGly)apH-Stph	
2212168481.fna	NZ_CP092565.1	2365514	2365933	+	(Fcyn)FosB	1-420/420	===============	0/0	100.00	99.76	argannot	AHLO01000073:63139-63558	(Fcyn)FosB	
2212168481.fna	NZ_CP092565.1	2494250	2495437	-	(Phe)dha1	1-1188/1188	===============	0/0	100.00	100.00	argannot	BA000018:2517801-2518988	(Phe)dha1	
2212168481.fna	NZ_CP092565.1	2639894	2640688	-	(AGly)aph(3'')-III	1-795/795	===============	0/0	100.00	100.00	argannot	V01547:535-1329	(AGly)aph(3'')-III	
2212168481.fna	NZ_CP092565.1	2640781	2641311	-	(AGly)sat4A	1-543/543	========/======	1/12	97.79	97.79	argannot	X92945:38870-39412	(AGly)sat4A	
2212168481.fna	NZ_CP092565.1	2652104	2653570	+	(MLS)msr(A)	1-1467/1467	===============	0/0	100.00	99.18	argannot	AY591760:274-1740	(MLS)msr(A)	
2212168481.fna	NZ_CP092565.1	2653669	2654568	+	(MLS)mph(C)	1-900/900	===============	0/0	100.00	99.89	argannot	AF167161:5665-6564	(MLS)mph(C)	
2212168481.fna	NZ_CP092565.1	2662904	2663434	+	(AGly)sat4A	1-543/543	========/======	1/12	97.79	97.79	argannot	X92945:38870-39412	(AGly)sat4A	
2212168481.fna	NZ_CP092565.1	2663527	2664321	+	(AGly)aph(3'')-III	1-795/795	===============	0/0	100.00	100.00	argannot	V01547:535-1329	(AGly)aph(3'')-III	
