#Template	Score	Expected	z	p_value	query coverage [%]	template coverage [%]	depth	Kmers in Template	Description
SCCmec_type_II(2A)|gb|CP000736	   47276	   41154	   36.50	3.7e-25	    0.83	   40.24	    0.51	  117483	
SCCmec_type_IV(2B)|SCCmec_type_IVc(2B)|gb|AY271717.1	   38232	   16793	  202.10	3.7e-25	    0.67	   79.75	    1.01	   47939	
SCCmec_type_IV(2B)|SCCmec_type_IVj(2B)|gb|AB425824.1	   35914	   16196	  189.40	3.7e-25	    0.63	   77.68	    0.98	   46234	
SCCmec_type_IV(2B)|SCCmec_type_IVi(2B)|gb|AB425823.1	   34295	   16030	  176.40	3.7e-25	    0.60	   74.95	    0.95	   45760	
SCCmec_type_IV(2B)|SCCmec_type_IVh(2B)|gb|CP007659.1	   34003	   15481	  182.10	3.7e-25	    0.60	   76.94	    0.98	   44194	
SCCmec_type_IV(2B)|SCCmec_type_IVa(2B)|gb|AB063172.2	   33798	   17866	  145.70	3.7e-25	    0.59	   66.27	    0.84	   51003	
SCCmec_type_I(1B)|gb|AB033763.2	   33742	   25966	   58.80	3.7e-25	    0.59	   45.52	    0.57	   74126	
SCCmec_type_IV(2B)|SCCmec_type_IVa(2B)|gb|BA000033.2	   33505	   16677	  159.40	3.7e-25	    0.59	   70.38	    0.89	   47607	
SCCmec_type_IV(2B)|SCCmec_type_IVd(2B)|gb|NZ_JYBA01000013.1	   33112	   18315	  133.70	3.7e-25	    0.58	   63.33	    0.82	   52283	
SCCmec_type_IV(2B)|SCCmec_type_IVc(2B)|gb|AB096217.1	   32507	   20834	   98.80	3.7e-25	    0.57	   54.66	    0.68	   59474	
SCCmec_type_IV(2B)|SCCmec_type_IVb(2B)|gb|AB063173.1	   31641	   15115	  164.60	3.7e-25	    0.55	   73.33	    0.95	   43148	
SCCmec_type_IV(2B)|SCCmec_type_IVg(2B)|gb|DQ106887.1	   31315	   16093	  146.90	3.7e-25	    0.55	   68.16	    0.89	   45942	
SCCmec_type_IV(2B&5)|gb|AM292304.1	   30609	   23205	   59.30	3.7e-25	    0.54	   46.21	    0.58	   66245	
SCCmec_type_IV(2B)|SCCmec_type_IVc(2B)|gb|EU437549.2	   29326	   20319	   77.30	3.7e-25	    0.51	   50.56	    0.66	   58005	
SCCmec_type_IV(2B)|SCCmec_type_IVc(2B)|gb|AJ810121.1	   28513	   16395	  115.90	3.7e-25	    0.50	   60.92	    0.81	   46802	
SCCmec_type_I(1B)|gb|CP000046.1	   25341	   18083	   66.10	3.7e-25	    0.44	   49.09	    0.65	   51622	
SCCmec_type_VI(4B)|gb|AF411935.3	   23703	   16178	   72.50	3.7e-25	    0.42	   51.32	    0.72	   46183	
SCCmec_type_IV(2B)|SCCmec_type_IVd(2B)|gb|AB097677.1	   11812	    9953	   23.00	3.7e-25	    0.21	   41.57	    0.42	   28413	
