#Template	Score	Expected	z	p_value	query coverage [%]	template coverage [%]	depth	Kmers in Template	Description
SCCmec_type_II(2A)|gb|CP000736	   47402	   41223	   36.80	3.7e-25	    0.84	   40.35	    0.51	  117483	
SCCmec_type_IV(2B)|SCCmec_type_IVc(2B)|gb|AY271717.1	   38296	   16821	  202.40	3.7e-25	    0.68	   79.88	    1.01	   47939	
SCCmec_type_IV(2B)|SCCmec_type_IVj(2B)|gb|AB425824.1	   35978	   16223	  189.70	3.7e-25	    0.64	   77.82	    0.98	   46234	
SCCmec_type_IV(2B)|SCCmec_type_IVi(2B)|gb|AB425823.1	   34355	   16056	  176.70	3.7e-25	    0.61	   75.08	    0.96	   45760	
SCCmec_type_IV(2B)|SCCmec_type_IVh(2B)|gb|CP007659.1	   34067	   15507	  182.40	3.7e-25	    0.61	   77.09	    0.98	   44194	
SCCmec_type_IV(2B)|SCCmec_type_IVa(2B)|gb|AB063172.2	   33860	   17896	  145.90	3.7e-25	    0.60	   66.39	    0.84	   51003	
SCCmec_type_I(1B)|gb|AB033763.2	   33826	   26010	   59.10	3.7e-25	    0.60	   45.63	    0.57	   74126	
SCCmec_type_IV(2B)|SCCmec_type_IVa(2B)|gb|BA000033.2	   33567	   16705	  159.60	3.7e-25	    0.60	   70.51	    0.89	   47607	
SCCmec_type_IV(2B)|SCCmec_type_IVd(2B)|gb|NZ_JYBA01000013.1	   33178	   18345	  133.90	3.7e-25	    0.59	   63.46	    0.82	   52283	
SCCmec_type_IV(2B)|SCCmec_type_IVc(2B)|gb|AB096217.1	   32529	   20869	   98.60	3.7e-25	    0.58	   54.69	    0.68	   59474	
SCCmec_type_IV(2B)|SCCmec_type_IVb(2B)|gb|AB063173.1	   31705	   15140	  164.90	3.7e-25	    0.56	   73.48	    0.95	   43148	
SCCmec_type_IV(2B)|SCCmec_type_IVg(2B)|gb|DQ106887.1	   31381	   16120	  147.20	3.7e-25	    0.56	   68.31	    0.89	   45942	
SCCmec_type_IV(2B&5)|gb|AM292304.1	   30617	   23244	   59.10	3.7e-25	    0.54	   46.22	    0.58	   66245	
SCCmec_type_IV(2B)|SCCmec_type_IVc(2B)|gb|EU437549.2	   29380	   20353	   77.40	3.7e-25	    0.52	   50.65	    0.66	   58005	
SCCmec_type_IV(2B)|SCCmec_type_IVc(2B)|gb|AJ810121.1	   28525	   16422	  115.70	3.7e-25	    0.51	   60.95	    0.81	   46802	
SCCmec_type_I(1B)|gb|CP000046.1	   25429	   18113	   66.60	3.7e-25	    0.45	   49.26	    0.65	   51622	
SCCmec_type_VI(4B)|gb|AF411935.3	   23771	   16205	   72.90	3.7e-25	    0.42	   51.47	    0.72	   46183	
SCCmec_type_IV(2B)|SCCmec_type_IVd(2B)|gb|AB097677.1	   11812	    9970	   22.80	3.7e-25	    0.21	   41.57	    0.42	   28413	
