#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
2999172154.fna	NZ_CP049976.1	295733	298072	+	sdrC	1-2367/2868	========/====..	8/35	81.45	90.38	vfdb	NP_645333	(sdrC) Ser-Asp rich fibrinogen-binding bone sialoprotein-binding protein [SDr (VF0019)] [Staphylococcus aureus subsp. aureus MW2]	
2999172154.fna	NZ_CP049976.1	303187	306266	+	sdrE	1-3098/3426	========/=====.	1/18	89.90	95.00	vfdb	NP_645335	(sdrE) Ser-Asp rich fibrinogen-binding bone sialoprotein-binding protein [SDr (VF0019)] [Staphylococcus aureus subsp. aureus MW2]	
2999172154.fna	NZ_CP049976.1	553511	556342	+	clfA	1-2841/2841	========/======	7/51	98.94	90.22	vfdb	NP_645581	(clfA) Clumping factor A fibrinogen-binding protein [Clumping factor (VF0004)] [Staphylococcus aureus subsp. aureus MW2]	
2999172154.fna	NZ_CP049976.1	737522	737851	-	sspC	1-330/330	===============	0/0	100.00	99.39	vfdb	NP_645747	(sspC) Staphostatin B [Staphopain (VF0006)] [Staphylococcus aureus subsp. aureus MW2]	
2999172154.fna	NZ_CP049976.1	737889	739070	-	sspB	1-1182/1182	===============	0/0	100.00	97.04	vfdb	NP_645748	(sspB) staphopain cysteine proteinase SspB [Staphopain (VF0006)] [Staphylococcus aureus subsp. aureus MW2]	
2999172154.fna	NZ_CP049976.1	739237	740180	-	sspA	1-944/984	===============	0/0	95.93	94.92	vfdb	NP_645749	(sspA) serine protease; V8 protease; glutamyl endopeptidase [V8 protease (VF0023)] [Staphylococcus aureus subsp. aureus MW2]	
2999172154.fna	NZ_CP049976.1	821724	823652	-	isdB	1-1938/1938	========/======	3/15	99.38	95.93	vfdb	YP_001332074	(isdB) iron-regulated surface determinant protein B haemoglobin receptor [Isd (VF0015)] [Staphylococcus aureus subsp. aureus str. Newman]	
2999172154.fna	NZ_CP049976.1	823855	824919	-	isdA	1-1053/1053	========/======	1/12	100.00	94.27	vfdb	YP_001332075	(isdA) iron-regulated surface determinant protein A [Isd (VF0015)] [Staphylococcus aureus subsp. aureus str. Newman]	
2999172154.fna	NZ_CP049976.1	825129	825811	+	isdC	2-684/684	===============	0/0	99.85	97.07	vfdb	YP_001332076	(isdC) iron-regulated surface determinant protein C [Isd (VF0015)] [Staphylococcus aureus subsp. aureus str. Newman]	
2999172154.fna	NZ_CP049976.1	825811	826887	+	isdD	1-1077/1077	===============	0/0	100.00	98.05	vfdb	NP_645831	(isdD) iron-regulated surface determinant protein D [Isd (VF0015)] [Staphylococcus aureus subsp. aureus MW2]	
2999172154.fna	NZ_CP049976.1	826884	827762	+	isdE	1-879/879	===============	0/0	100.00	99.55	vfdb	YP_001332078	(isdE) iron-regulated surface determinant protein E [Isd (VF0015)] [Staphylococcus aureus subsp. aureus str. Newman]	
